code_family,outfield
RDTAIS,"Resource Development > T1583 > Acquire Infrastructure: Serverless — Adversaries may purchase and configure serverless cloud infrastructure, such as Cloudflare Workers, AWS Lambda functions, or Google Apps Scripts, that can be used during targeting."
RDTAIVPS,Resource Development > T1583 > Acquire Infrastructure: Virtual Private Server — Adversaries may rent Virtual Private Servers (VPSs) that can be used during targeting.
RDTAIWS,Resource Development > T1583 > Acquire Infrastructure: Web Services — Adversaries may register for web services that can be used during targeting.
RTASSIB,Reconnaissance > T1595 > Active Scanning: Scanning IP Blocks — Adversaries may scan victim IP blocks to gather information that can be used during targeting.
RTASVS,Reconnaissance > T1595 > Active Scanning: Vulnerability Scanning — Adversaries may scan victims for vulnerabilities that can be used during targeting.
RTASWS,Reconnaissance > T1595 > Active Scanning: Wordlist Scanning — Adversaries may iteratively probe infrastructure using brute-forcing and crawling techniques.
CTAITMACP,Collection > T1557 > Adversary-in-the-Middle: ARP Cache Poisoning — Adversaries may poison Address Resolution Protocol (ARP) caches to position themselves between the communication of two or more networked devices.
CATAITMACP,Credential Access > T1557 > Adversary-in-the-Middle: ARP Cache Poisoning — Adversaries may poison Address Resolution Protocol (ARP) caches to position themselves between the communication of two or more networked devices.
CTAITMDS,Collection > T1557 > Adversary-in-the-Middle: DHCP Spoofing — Adversaries may redirect network traffic to adversary-owned systems by spoofing Dynamic Host Configuration Protocol (DHCP) traffic and acting as a malicious DHCP server on the victim network.
CATAITMDS,Credential Access > T1557 > Adversary-in-the-Middle: DHCP Spoofing — Adversaries may redirect network traffic to adversary-owned systems by spoofing Dynamic Host Configuration Protocol (DHCP) traffic and acting as a malicious DHCP server on the victim network.
CTAITMET,Collection > T1557 > Adversary-in-the-Middle: Evil Twin — Adversaries may host seemingly genuine Wi-Fi access points to deceive users into connecting to malicious networks as a way of supporting follow-on behaviors such as [Network Sniffing](https:
CATAITMET,Credential Access > T1557 > Adversary-in-the-Middle: Evil Twin — Adversaries may host seemingly genuine Wi-Fi access points to deceive users into connecting to malicious networks as a way of supporting follow-on behaviors such as [Network Sniffing](https:
CTAITMLNNPASR,"Collection > T1557 > Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay — By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system."
CATAITMLNNPASR,"Credential Access > T1557 > Adversary-in-the-Middle: LLMNR/NBT-NS Poisoning and SMB Relay — By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system."
CACTALPD,Command and Control > T1071 > Application Layer Protocol: DNS — Adversaries may communicate using the Domain Name System (DNS) application layer protocol to avoid detection/network filtering by blending in with existing traffic.
CACTALPFTP,Command and Control > T1071 > Application Layer Protocol: File Transfer Protocols — Adversaries may communicate using application layer protocols associated with transferring files to avoid detection/network filtering by blending in with existing traffic.
CACTALPMP,Command and Control > T1071 > Application Layer Protocol: Mail Protocols — Adversaries may communicate using application layer protocols associated with electronic mail delivery to avoid detection/network filtering by blending in with existing traffic.
CACTALPPSP,Command and Control > T1071 > Application Layer Protocol: Publish/Subscribe Protocols — Adversaries may communicate using publish/subscribe (pub/sub) application layer protocols to avoid detection/network filtering by blending in with existing traffic.
CACTALPWP,Command and Control > T1071 > Application Layer Protocol: Web Protocols — Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic.
CTACDAVCM,Collection > T1560 > Archive Collected Data: Archive via Custom Method — An adversary may compress or encrypt data that is collected prior to exfiltration using a custom method.
CTACDAVL,Collection > T1560 > Archive Collected Data: Archive via Library — An adversary may compress or encrypt data that is collected prior to exfiltration using 3rd party libraries.
CTACDAVU,Collection > T1560 > Archive Collected Data: Archive via Utility — Adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration.
ETAETD,Exfiltration > T1020 > Automated Exfiltration: Traffic Duplication — Adversaries may leverage traffic mirroring in order to automate data exfiltration over compromised infrastructure.
PTBOLAEAS,Persistence > T1547 > Boot or Logon Autostart Execution: Active Setup — Adversaries may achieve persistence by adding a Registry key to the Active Setup of the local machine.
PETBOLAEAS,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Active Setup — Adversaries may achieve persistence by adding a Registry key to the Active Setup of the local machine.
PTBOLAEAP,Persistence > T1547 > Boot or Logon Autostart Execution: Authentication Package — Adversaries may abuse authentication packages to execute DLLs when the system boots.
PETBOLAEAP,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Authentication Package — Adversaries may abuse authentication packages to execute DLLs when the system boots.
PTBOLAEKMAE,Persistence > T1547 > Boot or Logon Autostart Execution: Kernel Modules and Extensions — Adversaries may modify the kernel to automatically execute programs on system boot.
PETBOLAEKMAE,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Kernel Modules and Extensions — Adversaries may modify the kernel to automatically execute programs on system boot.
PTBOLAELD,Persistence > T1547 > Boot or Logon Autostart Execution: LSASS Driver — Adversaries may modify or add LSASS drivers to obtain persistence on compromised systems.
PETBOLAELD,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: LSASS Driver — Adversaries may modify or add LSASS drivers to obtain persistence on compromised systems.
PTBOLAELI,Persistence > T1547 > Boot or Logon Autostart Execution: Login Items — Adversaries may add login items to execute upon user login to gain persistence or escalate privileges.
PETBOLAELI,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Login Items — Adversaries may add login items to execute upon user login to gain persistence or escalate privileges.
PTBOLAEPM,Persistence > T1547 > Boot or Logon Autostart Execution: Port Monitors — Adversaries may use port monitors to run an adversary supplied DLL during system boot for persistence or privilege escalation.
PETBOLAEPM,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Port Monitors — Adversaries may use port monitors to run an adversary supplied DLL during system boot for persistence or privilege escalation.
PTBOLAEPP,Persistence > T1547 > Boot or Logon Autostart Execution: Print Processors — Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/or privilege escalation.
PETBOLAEPP,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Print Processors — Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/or privilege escalation.
PTBOLAEROA,Persistence > T1547 > Boot or Logon Autostart Execution: Re-opened Applications — Adversaries may modify plist files to automatically run an application when a user logs in.
PETBOLAEROA,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Re-opened Applications — Adversaries may modify plist files to automatically run an application when a user logs in.
PTBOLAERRKSF,Persistence > T1547 > Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder — Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key.
PETBOLAERRKSF,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder — Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key.
PTBOLAESSP,Persistence > T1547 > Boot or Logon Autostart Execution: Security Support Provider — Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots.
PETBOLAESSP,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Security Support Provider — Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots.
PTBOLAESM,Persistence > T1547 > Boot or Logon Autostart Execution: Shortcut Modification — Adversaries may create or modify shortcuts that can execute a program during system boot or user login.
PETBOLAESM,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Shortcut Modification — Adversaries may create or modify shortcuts that can execute a program during system boot or user login.
PTBOLAETP,Persistence > T1547 > Boot or Logon Autostart Execution: Time Providers — Adversaries may abuse time providers to execute DLLs when the system boots.
PETBOLAETP,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Time Providers — Adversaries may abuse time providers to execute DLLs when the system boots.
PTBOLAEWHD,Persistence > T1547 > Boot or Logon Autostart Execution: Winlogon Helper DLL — Adversaries may abuse features of Winlogon to execute DLLs and/or executables when a user logs in.
PETBOLAEWHD,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: Winlogon Helper DLL — Adversaries may abuse features of Winlogon to execute DLLs and/or executables when a user logs in.
PTBOLAEXAE,Persistence > T1547 > Boot or Logon Autostart Execution: XDG Autostart Entries — Adversaries may add or modify XDG Autostart Entries to execute malicious programs or commands when a user’s desktop environment is loaded at login.
PETBOLAEXAE,Privilege Escalation > T1547 > Boot or Logon Autostart Execution: XDG Autostart Entries — Adversaries may add or modify XDG Autostart Entries to execute malicious programs or commands when a user’s desktop environment is loaded at login.
PTBOLISLH,Persistence > T1037 > Boot or Logon Initialization Scripts: Login Hook — Adversaries may use a Login Hook to establish persistence executed upon user logon.
PETBOLISLH,Privilege Escalation > T1037 > Boot or Logon Initialization Scripts: Login Hook — Adversaries may use a Login Hook to establish persistence executed upon user logon.
PTBOLISLSW,Persistence > T1037 > Boot or Logon Initialization Scripts: Logon Script (Windows) — Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence.
PETBOLISLSW,Privilege Escalation > T1037 > Boot or Logon Initialization Scripts: Logon Script (Windows) — Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence.
PTBOLISNLS,Persistence > T1037 > Boot or Logon Initialization Scripts: Network Logon Script — Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence.
PETBOLISNLS,Privilege Escalation > T1037 > Boot or Logon Initialization Scripts: Network Logon Script — Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence.
PTBOLISRS,"Persistence > T1037 > Boot or Logon Initialization Scripts: RC Scripts — Adversaries may establish persistence by modifying RC scripts, which are executed during a Unix-like system’s startup."
PETBOLISRS,"Privilege Escalation > T1037 > Boot or Logon Initialization Scripts: RC Scripts — Adversaries may establish persistence by modifying RC scripts, which are executed during a Unix-like system’s startup."
PTBOLISSI,Persistence > T1037 > Boot or Logon Initialization Scripts: Startup Items — Adversaries may use startup items automatically executed at boot initialization to establish persistence.
PETBOLISSI,Privilege Escalation > T1037 > Boot or Logon Initialization Scripts: Startup Items — Adversaries may use startup items automatically executed at boot initialization to establish persistence.
CATBFCS,Credential Access > T1110 > Brute Force: Credential Stuffing — Adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap.
CATBFPC,"Credential Access > T1110 > Brute Force: Password Cracking — Adversaries may use password cracking to attempt to recover usable credentials, such as plaintext passwords, when credential material such as password hashes are obtained."
CATBFPG,Credential Access > T1110 > Brute Force: Password Guessing — Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts.
CATBFPS,Credential Access > T1110 > Brute Force: Password Spraying — Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials.
ETCASIA,Execution > T1059 > Command and Scripting Interpreter: AppleScript — Adversaries may abuse AppleScript for execution.
ETCASIAA,Execution > T1059 > Command and Scripting Interpreter: AutoHotKey & AutoIT — Adversaries may execute commands and perform malicious tasks using AutoIT and AutoHotKey automation scripts.
ETCASICA,Execution > T1059 > Command and Scripting Interpreter: Cloud API — Adversaries may abuse cloud APIs to execute malicious commands.
ETCASIHC,Execution > T1059 > Command and Scripting Interpreter: Hypervisor CLI — Adversaries may abuse hypervisor command line interpreters (CLIs) to execute malicious commands.
ETCASIJ,Execution > T1059 > Command and Scripting Interpreter: JavaScript — Adversaries may abuse various implementations of JavaScript for execution.
ETCASIL,Execution > T1059 > Command and Scripting Interpreter: Lua — Adversaries may abuse Lua commands and scripts for execution.
ETCASINDC,Execution > T1059 > Command and Scripting Interpreter: Network Device CLI — Adversaries may abuse scripting or built-in command line interpreters (CLI) on network devices to execute malicious command and payloads.
ETCASIP,Execution > T1059 > Command and Scripting Interpreter: PowerShell — Adversaries may abuse PowerShell commands and scripts for execution.
ETCASIP,Execution > T1059 > Command and Scripting Interpreter: Python — Adversaries may abuse Python commands and scripts for execution.
ETCASIUS,Execution > T1059 > Command and Scripting Interpreter: Unix Shell — Adversaries may abuse Unix shell commands and scripts for execution.
ETCASIVB,Execution > T1059 > Command and Scripting Interpreter: Visual Basic — Adversaries may abuse Visual Basic (VB) for execution.
ETCASIWCS,Execution > T1059 > Command and Scripting Interpreter: Windows Command Shell — Adversaries may abuse the Windows command shell for execution.
RDTCACA,Resource Development > T1586 > Compromise Accounts: Cloud Accounts — Adversaries may compromise cloud accounts that can be used during targeting.
RDTCAEA,Resource Development > T1586 > Compromise Accounts: Email Accounts — Adversaries may compromise email accounts that can be used during targeting.
RDTCASMA,Resource Development > T1586 > Compromise Accounts: Social Media Accounts — Adversaries may compromise social media accounts that can be used during targeting.
RDTCIB,Resource Development > T1584 > Compromise Infrastructure: Botnet — Adversaries may compromise numerous third-party systems to form a botnet that can be used during targeting.
RDTCIDS,Resource Development > T1584 > Compromise Infrastructure: DNS Server — Adversaries may compromise third-party DNS servers that can be used during targeting.
RDTCID,Resource Development > T1584 > Compromise Infrastructure: Domains — Adversaries may hijack domains and/or subdomains that can be used during targeting.
RDTCIND,Resource Development > T1584 > Compromise Infrastructure: Network Devices — Adversaries may compromise third-party network devices that can be used during targeting.
RDTCIS,Resource Development > T1584 > Compromise Infrastructure: Server — Adversaries may compromise third-party servers that can be used during targeting.
RDTCIS,"Resource Development > T1584 > Compromise Infrastructure: Serverless — Adversaries may compromise serverless cloud infrastructure, such as Cloudflare Workers, AWS Lambda functions, or Google Apps Scripts, that can be used during targeting."
RDTCIVPS,Resource Development > T1584 > Compromise Infrastructure: Virtual Private Server — Adversaries may compromise third-party Virtual Private Servers (VPSs) that can be used during targeting.
RDTCIWS,Resource Development > T1584 > Compromise Infrastructure: Web Services — Adversaries may compromise access to third-party web services that can be used during targeting.
PTCACA,Persistence > T1136 > Create Account: Cloud Account — Adversaries may create a cloud account to maintain access to victim systems.
PTCADA,Persistence > T1136 > Create Account: Domain Account — Adversaries may create a domain account to maintain access to victim systems.
PTCALA,Persistence > T1136 > Create Account: Local Account — Adversaries may create a local account to maintain access to victim systems.
PTCOMSPCS,"Persistence > T1543 > Create or Modify System Process: Container Service — Adversaries may create or modify container or container cluster management tools that run as daemons, agents, or services on individual hosts."
PETCOMSPCS,"Privilege Escalation > T1543 > Create or Modify System Process: Container Service — Adversaries may create or modify container or container cluster management tools that run as daemons, agents, or services on individual hosts."
PTCOMSPLA,Persistence > T1543 > Create or Modify System Process: Launch Agent — Adversaries may create or modify launch agents to repeatedly execute malicious payloads as part of persistence.
PETCOMSPLA,Privilege Escalation > T1543 > Create or Modify System Process: Launch Agent — Adversaries may create or modify launch agents to repeatedly execute malicious payloads as part of persistence.
PTCOMSPLD,Persistence > T1543 > Create or Modify System Process: Launch Daemon — Adversaries may create or modify Launch Daemons to execute malicious payloads as part of persistence.
PETCOMSPLD,Privilege Escalation > T1543 > Create or Modify System Process: Launch Daemon — Adversaries may create or modify Launch Daemons to execute malicious payloads as part of persistence.
PTCOMSPSS,Persistence > T1543 > Create or Modify System Process: Systemd Service — Adversaries may create or modify systemd services to repeatedly execute malicious payloads as part of persistence.
PETCOMSPSS,Privilege Escalation > T1543 > Create or Modify System Process: Systemd Service — Adversaries may create or modify systemd services to repeatedly execute malicious payloads as part of persistence.
PTCOMSPWS,Persistence > T1543 > Create or Modify System Process: Windows Service — Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part of persistence.
PETCOMSPWS,Privilege Escalation > T1543 > Create or Modify System Process: Windows Service — Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part of persistence.
CATCFPSCSMS,"Credential Access > T1555 > Credentials from Password Stores: Cloud Secrets Management Stores — Adversaries may acquire credentials from cloud-native secret management solutions such as AWS Secrets Manager, GCP Secret Manager, Azure Key Vault, and Terraform Vault."
CATCFPSCFWB,Credential Access > T1555 > Credentials from Password Stores: Credentials from Web Browsers — Adversaries may acquire credentials from web browsers by reading files specific to the target browser.
CATCFPSK,Credential Access > T1555 > Credentials from Password Stores: Keychain — Adversaries may acquire credentials from Keychain.
CATCFPSPM,Credential Access > T1555 > Credentials from Password Stores: Password Managers — Adversaries may acquire user credentials from third-party password managers.
CATCFPSSM,Credential Access > T1555 > Credentials from Password Stores: Securityd Memory — An adversary with root access may gather credentials by reading `securityd`’s memory.
CATCFPSWCM,Credential Access > T1555 > Credentials from Password Stores: Windows Credential Manager — Adversaries may acquire credentials from the Windows Credential Manager.
ITDDLTD,Impact > T1485 > Data Destruction: Lifecycle-Triggered Deletion — Adversaries may modify the lifecycle policies of a cloud storage bucket to destroy all objects stored within.
CACTDENSE,Command and Control > T1132 > Data Encoding: Non-Standard Encoding — Adversaries may encode data with a non-standard data encoding system to make the content of command and control traffic more difficult to detect.
CACTDESE,Command and Control > T1132 > Data Encoding: Standard Encoding — Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect.
ITDMRDM,"Impact > T1565 > Data Manipulation: Runtime Data Manipulation — Adversaries may modify systems in order to manipulate the data as it is accessed and displayed to an end user, thus threatening the integrity of the data."
ITDMSDM,"Impact > T1565 > Data Manipulation: Stored Data Manipulation — Adversaries may insert, delete, or manipulate data at rest in order to influence external outcomes or hide activity, thus threatening the integrity of the data."
ITDMTDM,"Impact > T1565 > Data Manipulation: Transmitted Data Manipulation — Adversaries may alter data en route to storage or other systems in order to manipulate external outcomes or hide activity, thus threatening the integrity of the data."
CACTDOJD,Command and Control > T1001 > Data Obfuscation: Junk Data — Adversaries may add junk data to protocols used for command and control to make detection more difficult.
CACTDOPOSI,Command and Control > T1001 > Data Obfuscation: Protocol or Service Impersonation — Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts.
CACTDOS,Command and Control > T1001 > Data Obfuscation: Steganography — Adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult.
CTDSLDS,Collection > T1074 > Data Staged: Local Data Staging — Adversaries may stage collected data in a central location or directory on the local system prior to Exfiltration.
CTDSRDS,Collection > T1074 > Data Staged: Remote Data Staging — Adversaries may stage data collected from multiple systems in a central location or directory on one system prior to Exfiltration.
CTDFCRNDCD,Collection > T1602 > Data from Configuration Repository: Network Device Configuration Dump — Adversaries may access network configuration files to collect sensitive data about the device and the network.
CTDFCRSMD,Collection > T1602 > Data from Configuration Repository: SNMP (MIB Dump) — Adversaries may target the Management Information Base (MIB) to collect and/or mine valuable information in a network managed using Simple Network Management Protocol (SNMP).
CTDFIRCR,Collection > T1213 > Data from Information Repositories: Code Repositories — Adversaries may leverage code repositories to collect valuable information.
CTDFIRC,Collection > T1213 > Data from Information Repositories: Confluence — Adversaries may leverage Confluence repositories to mine valuable information.
CTDFIRCRMS,Collection > T1213 > Data from Information Repositories: Customer Relationship Management Software — Adversaries may leverage Customer Relationship Management (CRM) software to mine valuable information.
CTDFIRMA,"Collection > T1213 > Data from Information Repositories: Messaging Applications — Adversaries may leverage chat and messaging applications, such as Microsoft Teams, Google Chat, and Slack, to mine valuable information."
CTDFIRS,Collection > T1213 > Data from Information Repositories: Sharepoint — Adversaries may leverage the SharePoint repository as a source to mine valuable information.
ITDED,"Impact > T1491 > Defacement: External Defacement — An adversary may deface systems external to an organization in an attempt to deliver messaging, intimidate, or otherwise mislead an organization or users."
ITDID,"Impact > T1491 > Defacement: Internal Defacement — An adversary may deface systems internal to an organization in an attempt to intimidate or mislead users, thus discrediting the integrity of the systems."
RDTDCCSC,Resource Development > T1587 > Develop Capabilities: Code Signing Certificates — Adversaries may create self-signed code signing certificates that can be used during targeting.
RDTDCDC,Resource Development > T1587 > Develop Capabilities: Digital Certificates — Adversaries may create self-signed SSL/TLS certificates that can be used during targeting.
RDTDCE,Resource Development > T1587 > Develop Capabilities: Exploits — Adversaries may develop exploits that can be used during targeting.
RDTDCM,Resource Development > T1587 > Develop Capabilities: Malware — Adversaries may develop malware and malware components that can be used during targeting.
ITDWDCW,Impact > T1561 > Disk Wipe: Disk Content Wipe — Adversaries may erase the contents of storage devices on specific systems or in large numbers in a network to interrupt availability to system and network resources.
ITDWDSW,Impact > T1561 > Disk Wipe: Disk Structure Wipe — Adversaries may corrupt or wipe the disk data structures on a hard drive necessary to boot a system;
DETDOTPMGPM,"Defense Evasion > T1484 > Domain or Tenant Policy Modification: Group Policy Modification — Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain."
PETDOTPMGPM,"Privilege Escalation > T1484 > Domain or Tenant Policy Modification: Group Policy Modification — Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain."
DETDOTPMTM,"Defense Evasion > T1484 > Domain or Tenant Policy Modification: Trust Modification — Adversaries may add new domain trusts, modify the properties of existing domain trusts, or otherwise change the configuration of trust relationships between domains and tenants to evade defenses and/or elevate privileges."
PETDOTPMTM,"Privilege Escalation > T1484 > Domain or Tenant Policy Modification: Trust Modification — Adversaries may add new domain trusts, modify the properties of existing domain trusts, or otherwise change the configuration of trust relationships between domains and tenants to evade defenses and/or elevate privileges."
CACTDRDC,"Command and Control > T1568 > Dynamic Resolution: DNS Calculation — Adversaries may perform calculations on addresses returned in DNS results to determine which port and IP address to use for command and control, rather than relying on a predetermined port number or the actual returned IP address."
CACTDRDGA,Command and Control > T1568 > Dynamic Resolution: Domain Generation Algorithms — Adversaries may make use of Domain Generation Algorithms (DGAs) to dynamically identify a destination domain for command and control traffic rather than relying on a list of static IP addresses or domains.
CACTDRFFD,Command and Control > T1568 > Dynamic Resolution: Fast Flux DNS — Adversaries may use Fast Flux DNS to hide a command and control channel behind an array of rapidly changing IP addresses linked to a single domain resolution.
CTECEFR,Collection > T1114 > Email Collection: Email Forwarding Rule — Adversaries may setup email forwarding rules to collect sensitive information.
CTECLEC,Collection > T1114 > Email Collection: Local Email Collection — Adversaries may target user email on local systems to collect sensitive information.
CTECREC,"Collection > T1114 > Email Collection: Remote Email Collection — Adversaries may target an Exchange server, Office 365, or Google Workspace to collect sensitive information."
CACTECAC,Command and Control > T1573 > Encrypted Channel: Asymmetric Cryptography — Adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol.
CACTECSC,Command and Control > T1573 > Encrypted Channel: Symmetric Cryptography — Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol.
ITEDOSAEF,"Impact > T1499 > Endpoint Denial of Service: Application Exhaustion Flood — Adversaries may target resource intensive features of applications to cause a denial of service (DoS), denying availability to those applications."
ITEDOSAOSE,Impact > T1499 > Endpoint Denial of Service: Application or System Exploitation — Adversaries may exploit software vulnerabilities that can cause an application or system to crash and deny availability to users.
ITEDOSOEF,Impact > T1499 > Endpoint Denial of Service: OS Exhaustion Flood — Adversaries may launch a denial of service (DoS) attack targeting an endpoint's operating system (OS).
ITEDOSSEF,Impact > T1499 > Endpoint Denial of Service: Service Exhaustion Flood — Adversaries may target the different network services provided by systems to conduct a denial of service (DoS).
RDTEACA,Resource Development > T1585 > Establish Accounts: Cloud Accounts — Adversaries may create accounts with cloud providers that can be used during targeting.
RDTEAEA,Resource Development > T1585 > Establish Accounts: Email Accounts — Adversaries may create email accounts that can be used during targeting.
RDTEASMA,Resource Development > T1585 > Establish Accounts: Social Media Accounts — Adversaries may create and cultivate social media accounts that can be used during targeting.
PTETEAF,Persistence > T1546 > Event Triggered Execution: Accessibility Features — Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features.
PETETEAF,Privilege Escalation > T1546 > Event Triggered Execution: Accessibility Features — Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features.
PTETEAD,Persistence > T1546 > Event Triggered Execution: AppCert DLLs — Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes.
PETETEAD,Privilege Escalation > T1546 > Event Triggered Execution: AppCert DLLs — Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes.
PTETEAD,Persistence > T1546 > Event Triggered Execution: AppInit DLLs — Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes.
PETETEAD,Privilege Escalation > T1546 > Event Triggered Execution: AppInit DLLs — Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes.
PTETEAS,Persistence > T1546 > Event Triggered Execution: Application Shimming — Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims.
PETETEAS,Privilege Escalation > T1546 > Event Triggered Execution: Application Shimming — Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims.
PTETECDFA,Persistence > T1546 > Event Triggered Execution: Change Default File Association — Adversaries may establish persistence by executing malicious content triggered by a file type association.
PETETECDFA,Privilege Escalation > T1546 > Event Triggered Execution: Change Default File Association — Adversaries may establish persistence by executing malicious content triggered by a file type association.
PTETECOMH,Persistence > T1546 > Event Triggered Execution: Component Object Model Hijacking — Adversaries may establish persistence by executing malicious content triggered by hijacked references to Component Object Model (COM) objects.
PETETECOMH,Privilege Escalation > T1546 > Event Triggered Execution: Component Object Model Hijacking — Adversaries may establish persistence by executing malicious content triggered by hijacked references to Component Object Model (COM) objects.
PTETEE,Persistence > T1546 > Event Triggered Execution: Emond — Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond).
PETETEE,Privilege Escalation > T1546 > Event Triggered Execution: Emond — Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond).
PTETEIFEOI,Persistence > T1546 > Event Triggered Execution: Image File Execution Options Injection — Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IFEO) debuggers.
PETETEIFEOI,Privilege Escalation > T1546 > Event Triggered Execution: Image File Execution Options Injection — Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IFEO) debuggers.
PTETEIP,Persistence > T1546 > Event Triggered Execution: Installer Packages — Adversaries may establish persistence and elevate privileges by using an installer to trigger the execution of malicious content.
PETETEIP,Privilege Escalation > T1546 > Event Triggered Execution: Installer Packages — Adversaries may establish persistence and elevate privileges by using an installer to trigger the execution of malicious content.
PTETELLDA,Persistence > T1546 > Event Triggered Execution: LC_LOAD_DYLIB Addition — Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries.
PETETELLDA,Privilege Escalation > T1546 > Event Triggered Execution: LC_LOAD_DYLIB Addition — Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries.
PTETENHD,Persistence > T1546 > Event Triggered Execution: Netsh Helper DLL — Adversaries may establish persistence by executing malicious content triggered by Netsh Helper DLLs.
PETETENHD,Privilege Escalation > T1546 > Event Triggered Execution: Netsh Helper DLL — Adversaries may establish persistence by executing malicious content triggered by Netsh Helper DLLs.
PTETEPP,Persistence > T1546 > Event Triggered Execution: PowerShell Profile — Adversaries may gain persistence and elevate privileges by executing malicious content triggered by PowerShell profiles.
PETETEPP,Privilege Escalation > T1546 > Event Triggered Execution: PowerShell Profile — Adversaries may gain persistence and elevate privileges by executing malicious content triggered by PowerShell profiles.
PTETES,Persistence > T1546 > Event Triggered Execution: Screensaver — Adversaries may establish persistence by executing malicious content triggered by user inactivity.
PETETES,Privilege Escalation > T1546 > Event Triggered Execution: Screensaver — Adversaries may establish persistence by executing malicious content triggered by user inactivity.
PTETET,Persistence > T1546 > Event Triggered Execution: Trap — Adversaries may establish persistence by executing malicious content triggered by an interrupt signal.
PETETET,Privilege Escalation > T1546 > Event Triggered Execution: Trap — Adversaries may establish persistence by executing malicious content triggered by an interrupt signal.
PTETEUR,Persistence > T1546 > Event Triggered Execution: Udev Rules — Adversaries may maintain persistence through executing malicious content triggered using udev rules.
PETETEUR,Privilege Escalation > T1546 > Event Triggered Execution: Udev Rules — Adversaries may maintain persistence through executing malicious content triggered using udev rules.
PTETEUSCM,Persistence > T1546 > Event Triggered Execution: Unix Shell Configuration Modification — Adversaries may establish persistence through executing malicious commands triggered by a user’s shell.
